room_id,hotel_id,room_name,room_amount_of_people,room_acreage,room_view,room_status,created_at,updated_at,deleted_at
30,11,Superior Twin,2,26,Hướng Sông,1,2022-12-23 18:35:26,nan,nan
31,11,Superior King,2,42,Hướng Sông,1,2022-12-23 18:35:41,nan,nan
32,11,Deluxe King,2,28,Hướng Thành Phố Và Sông,1,2022-12-23 18:35:55,nan,nan
33,12,Superior I Double/Twin,2,30,Hướng Sông,1,2022-12-23 18:44:23,nan,nan
34,12,Superior II Double/Twin,2,32,Hướng Sông,1,2022-12-23 18:44:44,nan,nan
35,12,SENIOR DOUBLE,2,30,Hướng Thành Phố,1,2022-12-23 18:45:33,nan,nan
36,13,Superior Double Or Twin Room,2,45,Hướng Sông,1,2022-12-23 18:55:07,nan,nan
37,13,Deluxe Double Or Twin Balcony Room,2,42,Hướng Thành Phố,1,2022-12-23 18:55:21,nan,nan
38,13,Deluxe Triple Balcony Room,2,42,Hướng Thành Phố Và Sông,1,2022-12-23 18:55:34,nan,nan
39,14,Superior Double city View,2,30,Hướng Sông,1,2022-12-23 19:05:00,nan,nan
40,14,Superior Twin,2,28,Hướng Thành Phố,1,2022-12-23 19:05:15,nan,nan
41,14,Deluxe Double,2,42,Hướng Thành Phố,1,2022-12-23 19:05:29,nan,nan
42,15,Superior King Ocean View,2,42,Hướng Sông,1,2022-12-24 02:33:50,nan,nan
43,15,Superior Twin Bay View,2,28,Hướng Sông,1,2022-12-24 02:34:03,nan,nan
44,15,Deluxe King/Twin Ocean View,2,42,Hướng Thành Phố Và Sông,1,2022-12-24 02:34:15,nan,nan
45,16,Deluxe Twin,2,28,Hướng Sông,1,2022-12-24 02:43:31,nan,nan
46,16,Deluxe Partial Ocean Twin,2,30,Hướng Thành Phố Và Sông,1,2022-12-24 02:43:44,nan,nan
47,16,Deluxe Partial Ocean King,2,30,Hướng Thành Phố,1,2022-12-24 02:43:56,nan,nan
48,17,Superior Twin/King (Khách Việt Nam),2,37,Hướng Thành Phố,1,2022-12-24 02:52:19,nan,nan
49,17,Deluxe Twin/King (Khách Việt Nam),2,30,Hướng Thành Phố,1,2022-12-24 02:52:33,nan,nan
50,17,Deluxe Golden Bay King/Twin (Khách Việt Nam),2,28,Hướng Thành Phố Và Sông,1,2022-12-24 02:52:47,nan,nan
51,18,Deluxe City View,2,28,Hướng Thành Phố,1,2022-12-24 03:00:53,nan,nan
52,18,Deluxe Partial Ocean View,2,30,Hướng Thành Phố Và Sông,1,2022-12-24 03:01:07,nan,nan
53,18,Junior Suite Ocean View,2,28,Hướng Thành Phố,1,2022-12-24 03:01:19,nan,nan
54,19,Superior King Room,2,45,Hướng Sông,1,2022-12-24 03:10:02,nan,nan
55,19,Deluxe King Room,2,45,Hướng Sông,1,2022-12-24 03:10:16,nan,nan
56,19,Deluxe King Room with Street View,2,45,Hướng Thành Phố,1,2022-12-24 03:10:35,nan,nan
57,20,Classic Double,2,45,Hướng Sông,1,2022-12-24 03:19:38,nan,nan
58,20,Deluxe Twin city view,2,42,Hướng Thành Phố Và Sông,1,2022-12-24 03:19:52,nan,nan
59,20,Premium Sea Side Twin,2,28,Hướng Thành Phố,1,2022-12-24 03:20:05,nan,nan
60,21,Superior King Room,2,28,Hướng Sông,1,2022-12-24 03:27:34,nan,nan
61,21,Deluxe King Có Ban Công View Hồ Bơi/Thành Phố,2,45,Hướng Thành Phố,1,2022-12-24 03:27:53,nan,nan
62,21,Superior Twin Room,2,42,Hướng Thành Phố,1,2022-12-24 03:28:06,nan,nan
