type_room_id,room_id,type_room_bed,type_room_price,type_room_condition,type_room_price_sale,type_room_quantity,type_room_status,created_at,updated_at,deleted_at
",
84",31,2,4507800,1,23,20,1,2022-12-23 18:39:34,,
",
85",32,1,2500000,0,,19,1,2022-12-23 18:39:50,2022-12-24 12:00:55,
",
86",32,2,4500000,1,12,20,1,2022-12-23 18:40:03,,
",
87",33,1,2700000,1,32,20,1,2022-12-23 18:49:22,,
",
88",33,2,4350000,1,32,30,1,2022-12-23 18:49:38,,
",
89",34,1,1500000,0,,20,1,2022-12-23 18:49:51,,
",
90",34,2,3500000,1,24,20,1,2022-12-23 18:50:07,,
",
91",35,1,1600000,0,,20,1,2022-12-23 18:50:22,,
",
92",34,2,4500000,1,22,20,1,2022-12-23 18:50:39,,
",
93",35,2,2200000,0,,19,1,2022-12-23 18:50:53,2022-12-24 09:27:32,
",
94",36,1,2500000,0,,20,1,2022-12-23 18:58:06,,
",
95",36,2,4700000,1,10,20,1,2022-12-23 18:58:21,,
",
96",37,1,1500000,1,7,20,1,2022-12-23 18:58:34,,
",
97",37,2,4500000,1,13,20,1,2022-12-23 18:58:49,,
",
98",38,1,1500000,1,10,20,1,2022-12-23 18:59:03,,
",
99",38,2,2506000,1,8,20,1,2022-12-23 18:59:21,,
",
100",39,1,1400000,1,7,30,1,2022-12-23 19:07:57,,
",
101",39,2,4500000,1,17,20,1,2022-12-23 19:08:14,,
",
102",40,1,1400000,1,23,30,1,2022-12-23 19:08:28,,
",
103",40,2,1305636,1,7,20,1,2022-12-23 19:08:40,,
",
104",40,3,4305636,1,13,20,1,2022-12-23 19:08:54,,
",
105",41,1,1400000,0,,20,1,2022-12-23 19:09:04,,
",
106",41,2,2500000,1,9,20,1,2022-12-23 19:09:19,,
",
107",41,1,2500000,1,10,20,1,2022-12-23 19:09:33,,
",
108",41,1,1305636,0,,20,1,2022-12-23 19:09:48,,
",
109",42,1,1700000,1,13,20,1,2022-12-24 02:36:44,,
",
110",42,2,3706000,1,9,20,1,2022-12-24 02:37:03,,
",
111",42,1,4500000,0,,30,1,2022-12-24 02:37:14,,
",
112",43,1,1704000,0,,20,1,2022-12-24 02:37:33,,
",
113",43,2,4556000,1,8,20,1,2022-12-24 02:37:49,,
",
114",44,1,1400000,0,,20,1,2022-12-24 02:38:00,,
",
115",44,2,4500000,1,17,20,1,2022-12-24 02:38:14,,
",
116",44,3,1305636,0,,20,1,2022-12-24 02:38:27,,
",
117",45,1,1703000,1,7,20,1,2022-12-24 02:46:22,,
",
118",45,2,4500301,1,10,20,1,2022-12-24 02:46:44,,
",
119",45,3,4502000,0,,20,1,2022-12-24 02:47:02,,
",
120",46,1,1701000,0,,30,1,2022-12-24 02:47:14,,
",
121",46,2,2700000,1,22,20,1,2022-12-24 02:47:31,,
",
122",47,1,1400000,0,,20,1,2022-12-24 02:47:43,,
",
123",47,3,4500000,1,11,20,1,2022-12-24 02:47:56,,
",
124",46,2,3700000,1,17,30,1,2022-12-24 02:48:14,,
",
125",48,1,2300000,1,11,20,1,2022-12-24 02:54:55,,
",
126",48,2,4500000,1,12,30,1,2022-12-24 02:55:07,,
",
127",48,3,4500000,1,32,20,1,2022-12-24 02:55:21,,
",
128",49,1,2200000,1,22,29,1,2022-12-24 02:55:35,2023-11-12 16:52:04,
",
129",49,2,3700000,1,13,20,1,2022-12-24 02:55:49,,
",
130",50,1,1700000,0,,18,1,2022-12-24 02:56:00,2023-08-18 14:04:44,
",
131",50,2,2500000,1,15,20,1,2022-12-24 02:56:17,,
",
132",51,1,1200000,1,9,20,1,2022-12-24 03:03:00,,
",
133",51,2,2700000,1,7,29,1,2022-12-24 03:03:16,2022-12-24 10:28:35,
",
134",51,3,4500000,1,24,30,1,2022-12-24 03:03:34,,
",
135",52,1,1400000,0,,20,1,2022-12-24 03:03:46,,
",
136",52,2,2300000,1,8,30,1,2022-12-24 03:04:01,,
",
137",52,3,4500000,1,10,30,1,2022-12-24 03:04:17,,
",
138",53,1,1700000,1,9,20,1,2022-12-24 03:04:29,,
",
139",53,2,2700000,1,13,30,1,2022-12-24 03:04:45,,
",
140",54,1,2200000,1,11,30,1,2022-12-24 03:12:27,,
",
141",54,2,2506000,1,19,20,1,2022-12-24 03:12:40,,
",
142",54,3,4350000,1,12,20,1,2022-12-24 03:12:53,,
",
143",55,1,1600000,1,17,20,1,2022-12-24 03:13:04,,
",
144",55,2,1200000,1,11,20,1,2022-12-24 03:13:16,,
",
145",55,2,2506000,1,12,30,1,2022-12-24 03:13:32,,
",
146",56,1,1700000,1,32,18,1,2022-12-24 03:13:49,2022-12-25 00:37:12,
",
147",56,2,2500000,1,17,30,1,2022-12-24 03:14:06,2024-06-04 12:46:49,
",
148",57,1,1400000,1,23,20,1,2022-12-24 03:22:10,,
",
149",57,2,2506000,1,11,20,1,2022-12-24 03:22:23,,
",
150",57,3,4500000,1,32,20,1,2022-12-24 03:22:38,,
",
151",58,1,1400000,1,7,20,1,2022-12-24 03:22:48,,
",
152",58,2,1200000,1,8,30,1,2022-12-24 03:23:00,,
",
153",58,3,2501000,1,10,20,1,2022-12-24 03:23:16,,
",
154",59,1,1305636,0,,19,1,2022-12-24 03:23:29,2024-05-06 08:33:38,
",
155",59,2,1400000,0,,30,1,2022-12-24 03:23:44,,
",
156",60,1,2200000,1,11,20,1,2022-12-24 03:30:17,,
",
157",60,2,1200000,0,,30,1,2022-12-24 03:30:27,,
",
158",60,3,2506000,1,13,30,1,2022-12-24 03:30:40,,
",
159",61,1,1700000,1,9,19,1,2022-12-24 03:30:52,2022-12-24 13:20:42,
",
160",61,2,1700000,1,13,20,1,2022-12-24 03:31:06,,
",
161",62,1,1500000,1,13,19,1,2022-12-24 03:31:20,2022-12-24 13:18:54,
",
162",62,2,1200000,1,7,20,1,2022-12-24 03:31:31,,
