order_details_id,order_code,restaurant_id,restaurant_menu_id,restaurant_menu_price,restaurant_menu_quantity,table_restaurant_price,created_at,updated_at
25,MYHOTEL20241028154853,4,15,130000,1,NULL,2024-10-28 15:48:53,2024-10-28 15:48:53
26,MYHOTEL20241028154853,4,16,60000,1,NULL,2024-10-28 15:48:53,2024-10-28 15:48:53
27,MYHOTEL20241028154947,4,12,60000,1,NULL,2024-10-28 15:49:47,2024-10-28 15:49:47
28,MYHOTEL20241028154947,4,13,90000,1,NULL,2024-10-28 15:49:47,2024-10-28 15:49:47
29,MYHOTEL20241028154947,4,15,130000,1,NULL,2024-10-28 15:49:47,2024-10-28 15:49:47
30,MYHOTEL20241028154947,4,16,60000,1,NULL,2024-10-28 15:49:47,2024-10-28 15:49:47
31,MYHOTEL20241028155620,4,12,60000,1,NULL,2024-10-28 15:56:20,2024-10-28 15:56:20
32,MYHOTEL20241028155620,4,13,90000,1,NULL,2024-10-28 15:56:20,2024-10-28 15:56:20
33,MYHOTEL20241028155620,4,15,130000,1,NULL,2024-10-28 15:56:20,2024-10-28 15:56:20
34,MYHOTEL20241028155620,4,16,60000,1,NULL,2024-10-28 15:56:20,2024-10-28 15:56:20
35,MYHOTEL20241028160041,4,12,60000,1,NULL,2024-10-28 16:00:41,2024-10-28 16:00:41
36,MYHOTEL20241028160041,4,13,90000,1,NULL,2024-10-28 16:00:41,2024-10-28 16:00:41
37,MYHOTEL20241028160041,4,15,130000,1,NULL,2024-10-28 16:00:41,2024-10-28 16:00:41
38,MYHOTEL20241028160041,4,16,60000,1,NULL,2024-10-28 16:00:41,2024-10-28 16:00:41
39,MYHOTEL20241028160238,4,12,60000,1,NULL,2024-10-28 16:02:38,2024-10-28 16:02:38
40,MYHOTEL20241028160238,4,13,90000,1,NULL,2024-10-28 16:02:38,2024-10-28 16:02:38
41,MYHOTEL20241028160238,4,15,130000,1,NULL,2024-10-28 16:02:38,2024-10-28 16:02:38
42,MYHOTEL20241028160238,4,16,60000,1,NULL,2024-10-28 16:02:38,2024-10-28 16:02:38
43,MYHOTEL20241028160300,4,12,60000,1,NULL,2024-10-28 16:03:00,2024-10-28 16:03:00
44,MYHOTEL20241028160300,4,13,90000,1,NULL,2024-10-28 16:03:00,2024-10-28 16:03:00
45,MYHOTEL20241028160300,4,15,130000,1,NULL,2024-10-28 16:03:00,2024-10-28 16:03:00
46,MYHOTEL20241028160300,4,16,60000,1,NULL,2024-10-28 16:03:00,2024-10-28 16:03:00
47,MYHOTEL20241028160336,4,12,60000,1,NULL,2024-10-28 16:03:36,2024-10-28 16:03:36
48,MYHOTEL20241028160336,4,13,90000,1,NULL,2024-10-28 16:03:36,2024-10-28 16:03:36
49,MYHOTEL20241028160336,4,15,130000,1,NULL,2024-10-28 16:03:36,2024-10-28 16:03:36
50,MYHOTEL20241028160336,4,16,60000,1,NULL,2024-10-28 16:03:36,2024-10-28 16:03:36
51,MYHOTEL20241028160349,4,12,60000,1,NULL,2024-10-28 16:03:49,2024-10-28 16:03:49
52,MYHOTEL20241028160349,4,13,90000,1,NULL,2024-10-28 16:03:49,2024-10-28 16:03:49
53,MYHOTEL20241028160349,4,15,130000,1,NULL,2024-10-28 16:03:49,2024-10-28 16:03:49
54,MYHOTEL20241028160349,4,16,60000,1,NULL,2024-10-28 16:03:49,2024-10-28 16:03:49
55,MYHOTEL20241028161603,4,12,180000,3,NULL,2024-10-28 16:16:03,2024-10-28 16:16:03
56,MYHOTEL20241028161603,4,15,390000,3,NULL,2024-10-28 16:16:03,2024-10-28 16:16:03
57,MYHOTEL20241028161701,4,12,180000,3,NULL,2024-10-28 16:17:01,2024-10-28 16:17:01
58,MYHOTEL20241028161701,4,15,390000,3,NULL,2024-10-28 16:17:01,2024-10-28 16:17:01
59,MYHOTEL20241028161735,4,12,180000,3,NULL,2024-10-28 16:17:35,2024-10-28 16:17:35
60,MYHOTEL20241028161735,4,15,390000,3,NULL,2024-10-28 16:17:35,2024-10-28 16:17:35
61,MYHOTEL20241028161957,4,12,180000,3,NULL,2024-10-28 16:19:57,2024-10-28 16:19:57
62,MYHOTEL20241028161957,4,15,390000,3,NULL,2024-10-28 16:19:57,2024-10-28 16:19:57
63,MYHOTEL20241028162020,4,12,180000,3,NULL,2024-10-28 16:20:20,2024-10-28 16:20:20
64,MYHOTEL20241028162020,4,15,390000,3,NULL,2024-10-28 16:20:20,2024-10-28 16:20:20
65,MYHOTEL20241028162052,4,12,180000,3,NULL,2024-10-28 16:20:52,2024-10-28 16:20:52
66,MYHOTEL20241028162052,4,15,390000,3,NULL,2024-10-28 16:20:52,2024-10-28 16:20:52
67,MYHOTEL20241028162109,4,12,180000,3,NULL,2024-10-28 16:21:09,2024-10-28 16:21:09
68,MYHOTEL20241028162109,4,15,390000,3,NULL,2024-10-28 16:21:09,2024-10-28 16:21:09
69,MYHOTEL20241028162339,4,12,60000,1,NULL,2024-10-28 16:23:39,2024-10-28 16:23:39
70,MYHOTEL20241028162339,4,13,90000,1,NULL,2024-10-28 16:23:39,2024-10-28 16:23:39
71,MYHOTEL20241028162339,4,14,85000,1,NULL,2024-10-28 16:23:39,2024-10-28 16:23:39
72,MYHOTEL20241028162708,4,12,60000,1,NULL,2024-10-28 16:27:08,2024-10-28 16:27:08
73,MYHOTEL20241028162708,4,13,90000,1,NULL,2024-10-28 16:27:08,2024-10-28 16:27:08
74,MYHOTEL20241028162708,4,14,85000,1,NULL,2024-10-28 16:27:08,2024-10-28 16:27:08
75,MYHOTEL20241028162815,4,12,60000,1,NULL,2024-10-28 16:28:15,2024-10-28 16:28:15
76,MYHOTEL20241028162815,4,13,90000,1,NULL,2024-10-28 16:28:15,2024-10-28 16:28:15
77,MYHOTEL20241028162815,4,14,85000,1,NULL,2024-10-28 16:28:15,2024-10-28 16:28:15
78,MYHOTEL20241028162834,4,12,60000,1,NULL,2024-10-28 16:28:35,2024-10-28 16:28:35
79,MYHOTEL20241028162834,4,13,90000,1,NULL,2024-10-28 16:28:35,2024-10-28 16:28:35
80,MYHOTEL20241028162834,4,14,85000,1,NULL,2024-10-28 16:28:35,2024-10-28 16:28:35
81,MYHOTEL20241028162929,4,12,60000,1,NULL,2024-10-28 16:29:29,2024-10-28 16:29:29
82,MYHOTEL20241028162929,4,13,90000,1,NULL,2024-10-28 16:29:29,2024-10-28 16:29:29
83,MYHOTEL20241028162929,4,14,85000,1,NULL,2024-10-28 16:29:29,2024-10-28 16:29:29
84,MYHOTEL20241028163031,4,12,60000,1,NULL,2024-10-28 16:30:31,2024-10-28 16:30:31
85,MYHOTEL20241028163031,4,13,90000,1,NULL,2024-10-28 16:30:31,2024-10-28 16:30:31
86,MYHOTEL20241028163031,4,14,85000,1,NULL,2024-10-28 16:30:31,2024-10-28 16:30:31
87,MYHOTEL20241028163031,4,12,60000,1,NULL,2024-10-28 16:30:31,2024-10-28 16:30:31
88,MYHOTEL20241028163031,4,13,90000,1,NULL,2024-10-28 16:30:31,2024-10-28 16:30:31
89,MYHOTEL20241028163031,4,14,85000,1,NULL,2024-10-28 16:30:31,2024-10-28 16:30:31
90,MYHOTEL20241028163053,4,12,60000,1,NULL,2024-10-28 16:30:54,2024-10-28 16:30:54
91,MYHOTEL20241028163053,4,13,90000,1,NULL,2024-10-28 16:30:54,2024-10-28 16:30:54
92,MYHOTEL20241028163053,4,14,85000,1,NULL,2024-10-28 16:30:54,2024-10-28 16:30:54
93,MYHOTEL20241028163138,4,12,60000,1,NULL,2024-10-28 16:31:38,2024-10-28 16:31:38
94,MYHOTEL20241028163138,4,13,90000,1,NULL,2024-10-28 16:31:38,2024-10-28 16:31:38
95,MYHOTEL20241028163138,4,14,85000,1,NULL,2024-10-28 16:31:38,2024-10-28 16:31:38
96,MYHOTEL20241028163234,4,12,60000,1,NULL,2024-10-28 16:32:34,2024-10-28 16:32:34
97,MYHOTEL20241028163234,4,13,90000,1,NULL,2024-10-28 16:32:34,2024-10-28 16:32:34
98,MYHOTEL20241028163234,4,14,85000,1,NULL,2024-10-28 16:32:34,2024-10-28 16:32:34
99,MYHOTEL20241028163403,4,12,60000,1,NULL,2024-10-28 16:34:03,2024-10-28 16:34:03
100,MYHOTEL20241028163403,4,13,90000,1,NULL,2024-10-28 16:34:03,2024-10-28 16:34:03
101,MYHOTEL20241028163403,4,14,85000,1,NULL,2024-10-28 16:34:03,2024-10-28 16:34:03
102,MYHOTEL20241028163412,4,12,60000,1,NULL,2024-10-28 16:34:12,2024-10-28 16:34:12
103,MYHOTEL20241028163412,4,13,90000,1,NULL,2024-10-28 16:34:12,2024-10-28 16:34:12
104,MYHOTEL20241028163412,4,14,85000,1,NULL,2024-10-28 16:34:12,2024-10-28 16:34:12
105,MYHOTEL20241028163434,4,12,60000,1,NULL,2024-10-28 16:34:34,2024-10-28 16:34:34
106,MYHOTEL20241028163434,4,13,90000,1,NULL,2024-10-28 16:34:34,2024-10-28 16:34:34
107,MYHOTEL20241028163434,4,14,85000,1,NULL,2024-10-28 16:34:34,2024-10-28 16:34:34
108,MYHOTEL20241028163714,4,12,60000,1,NULL,2024-10-28 16:37:14,2024-10-28 16:37:14
109,MYHOTEL20241028163714,4,13,90000,1,NULL,2024-10-28 16:37:14,2024-10-28 16:37:14
110,MYHOTEL20241028163714,4,14,85000,1,NULL,2024-10-28 16:37:14,2024-10-28 16:37:14
111,MYHOTEL20241028175233,4,12,60000,1,NULL,2024-10-28 17:52:33,2024-10-28 17:52:33
112,MYHOTEL20241028175233,4,13,90000,1,NULL,2024-10-28 17:52:33,2024-10-28 17:52:33
113,MYHOTEL20241028175233,4,14,85000,1,NULL,2024-10-28 17:52:33,2024-10-28 17:52:33
114,MYHOTEL20241028175233,4,15,130000,1,NULL,2024-10-28 17:52:33,2024-10-28 17:52:33
115,MYHOTEL20241028175344,4,12,60000,1,NULL,2024-10-28 17:53:44,2024-10-28 17:53:44
116,MYHOTEL20241028175344,4,13,90000,1,NULL,2024-10-28 17:53:44,2024-10-28 17:53:44
117,MYHOTEL20241028175344,4,14,85000,1,NULL,2024-10-28 17:53:44,2024-10-28 17:53:44
118,MYHOTEL20241112161402,7,34,1827000,3,NULL,2024-11-12 16:14:02,2024-11-12 16:14:02
119,MYHOTEL20241112161402,7,35,897000,3,NULL,2024-11-12 16:14:02,2024-11-12 16:14:02
120,MYHOTEL20241112161734,7,34,1827000,3,NULL,2024-11-12 16:17:34,2024-11-12 16:17:34
121,MYHOTEL20241112161734,7,35,897000,3,NULL,2024-11-12 16:17:34,2024-11-12 16:17:34
122,MYHOTEL20241112161738,7,34,1827000,3,NULL,2024-11-12 16:17:38,2024-11-12 16:17:38
123,MYHOTEL20241112161738,7,35,897000,3,NULL,2024-11-12 16:17:38,2024-11-12 16:17:38
124,MYHOTEL20241112161739,7,34,1827000,3,NULL,2024-11-12 16:17:39,2024-11-12 16:17:39
125,MYHOTEL20241112161739,7,35,897000,3,NULL,2024-11-12 16:17:39,2024-11-12 16:17:39
126,MYHOTEL20241112161740,7,34,1827000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
127,MYHOTEL20241112161740,7,35,897000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
128,MYHOTEL20241112161740,7,34,1827000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
129,MYHOTEL20241112161740,7,35,897000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
130,MYHOTEL20241112161740,7,34,1827000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
131,MYHOTEL20241112161740,7,35,897000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
132,MYHOTEL20241112161740,7,34,1827000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
133,MYHOTEL20241112161740,7,35,897000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
134,MYHOTEL20241112161740,7,34,1827000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
135,MYHOTEL20241112161740,7,35,897000,3,NULL,2024-11-12 16:17:40,2024-11-12 16:17:40
136,MYHOTEL20241112161740,7,34,1827000,3,NULL,2024-11-12 16:17:41,2024-11-12 16:17:41
137,MYHOTEL20241112161740,7,35,897000,3,NULL,2024-11-12 16:17:41,2024-11-12 16:17:41
138,MYHOTEL20241112162504,7,34,609000,1,NULL,2024-11-12 16:25:04,2024-11-12 16:25:04
139,MYHOTEL20241112162504,7,35,299000,1,NULL,2024-11-12 16:25:04,2024-11-12 16:25:04
140,MYHOTEL20241112162546,4,12,60000,1,NULL,2024-11-12 16:25:46,2024-11-12 16:25:46
141,MYHOTEL20241112162546,4,13,90000,1,NULL,2024-11-12 16:25:46,2024-11-12 16:25:46
142,MYHOTEL20241112162546,4,14,85000,1,NULL,2024-11-12 16:25:46,2024-11-12 16:25:46
143,MYHOTEL20241112162937,7,35,299000,1,NULL,2024-11-12 16:29:37,2024-11-12 16:29:37
144,MYHOTEL20241112162937,7,34,609000,1,NULL,2024-11-12 16:29:37,2024-11-12 16:29:37
145,MYHOTEL20241112163639,7,34,1218000,2,NULL,2024-11-12 16:36:39,2024-11-12 16:36:39
146,MYHOTEL20241112163639,7,35,598000,2,NULL,2024-11-12 16:36:39,2024-11-12 16:36:39
147,MYHOTEL20241112163854,7,34,1218000,2,NULL,2024-11-12 16:38:54,2024-11-12 16:38:54
148,MYHOTEL20241112163854,7,35,598000,2,NULL,2024-11-12 16:38:54,2024-11-12 16:38:54
149,MYHOTEL20241112163910,7,35,299000,1,NULL,2024-11-12 16:39:10,2024-11-12 16:39:10
150,MYHOTEL20241112163910,7,34,609000,1,NULL,2024-11-12 16:39:10,2024-11-12 16:39:10
151,MYHOTEL20241112164721,7,34,1218000,2,NULL,2024-11-12 16:47:21,2024-11-12 16:47:21
152,MYHOTEL20241112164721,7,35,598000,2,NULL,2024-11-12 16:47:21,2024-11-12 16:47:21
153,MYHOTEL20241112164730,7,35,299000,1,NULL,2024-11-12 16:47:30,2024-11-12 16:47:30
154,MYHOTEL20241112164730,7,34,609000,1,NULL,2024-11-12 16:47:30,2024-11-12 16:47:30
