room_id,hotel_id,room_name,room_amount_of_people,room_acreage,room_view,room_status,created_at,updated_at,deleted_at
44,15,Deluxe King/Twin Ocean View,2,42,Hướng Thành Phố Và Sông,1,2022-12-24 02:34:15,NULL,NULL
45,16,Deluxe Twin,2,28,Hướng Sông,1,2022-12-24 02:43:31,NULL,NULL
46,16,Deluxe Partial Ocean Twin,2,30,Hướng Thành Phố Và Sông,1,2022-12-24 02:43:44,NULL,NULL
47,16,Deluxe Partial Ocean King,2,30,Hướng Thành Phố,1,2022-12-24 02:43:56,NULL,NULL
48,17,Superior Twin/King (Khách Việt Nam),2,37,Hướng Thành Phố,1,2022-12-24 02:52:19,NULL,NULL
49,17,Deluxe Twin/King (Khách Việt Nam),2,30,Hướng Thành Phố,1,2022-12-24 02:52:33,NULL,NULL
50,17,Deluxe Golden Bay King/Twin (Khách Việt Nam),2,28,Hướng Thành Phố Và Sông,1,2022-12-24 02:52:47,NULL,NULL
51,18,Deluxe City View,2,28,Hướng Thành Phố,1,2022-12-24 03:00:53,NULL,NULL
52,18,Deluxe Partial Ocean View,2,30,Hướng Thành Phố Và Sông,1,2022-12-24 03:01:07,NULL,NULL
53,18,Junior Suite Ocean View,2,28,Hướng Thành Phố,1,2022-12-24 03:01:19,NULL,NULL
54,19,Superior King Room,2,45,Hướng Sông,1,2022-12-24 03:10:02,NULL,NULL
55,19,Deluxe King Room,2,45,Hướng Sông,1,2022-12-24 03:10:16,NULL,NULL
56,19,Deluxe King Room with Street View,2,45,Hướng Thành Phố,1,2022-12-24 03:10:35,NULL,NULL
57,20,Classic Double,2,45,Hướng Sông,1,2022-12-24 03:19:38,NULL,NULL
58,20,Deluxe Twin city view,2,42,Hướng Thành Phố Và Sông,1,2022-12-24 03:19:52,NULL,NULL
59,20,Premium Sea Side Twin,2,28,Hướng Thành Phố,1,2022-12-24 03:20:05,NULL,NULL
60,21,Superior King Room,2,28,Hướng Sông,1,2022-12-24 03:27:34,NULL,NULL
61,21,Deluxe King Có Ban Công View Hồ Bơi/Thành Phố,2,45,Hướng Thành Phố,1,2022-12-24 03:27:53,NULL,NULL
62,21,Superior Twin Room,2,42,Hướng Thành Phố,1,2022-12-24 03:28:06,NULL,NULL
64,22,Family Room,1,42,Hướng Sông,1,2025-10-26 02:46:01,2025-10-26 02:46:19,NULL
65,23,Deluxe Double or Twin Room with City View,2,26,Hướng Thành Phố,1,2025-10-26 03:22:16,NULL,NULL
66,23,Triple Room,3,32,Hướng Thành Phố,1,2025-10-26 03:23:03,NULL,NULL
67,23,Suite with Spa Bath,1,56,Hướng Thành Phố,1,2025-10-26 03:23:43,NULL,NULL
