manipulation_activity_id,manipulation_activity_admin_id,manipulation_activity_admin_name,manipulation_activity_customer_id,manipulation_activity_customer_name,manipulation_activity_type,manipulation_activity_action,manipulation_activity_ip,manipulation_activity_located,manipulation_activity_device,created_at
20,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:13
21,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Slider Slider Sale,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:30
22,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:30
23,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:31
24,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:33
25,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Slider Slider Super Sale,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:54
26,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:54
27,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:56
28,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:50:57
29,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Slider Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:16
30,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:16
31,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:17
32,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:19
33,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:20
34,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:20
35,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:22
36,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:23
37,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:51:24
38,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 09:55:14
39,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 10:10:37
40,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 12:50:41
41,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 12:52:23
42,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:05:07
43,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:06:48
44,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:39:16
45,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:39:54
46,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:40:12
47,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:40:23
48,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 4 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:51:18
49,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:51:38
50,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tên Ảnh ( ID Ảnh : 9),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:52:10
51,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 3 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:53:58
52,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:54:09
53,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:54:14
54,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 2 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:57:39
55,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 2 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 13:57:54
56,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 2 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:11:30
57,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 2 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:11:36
58,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 17),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:24:06
59,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 1 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:42:34
60,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tên Ảnh ( ID Ảnh : 21),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:42:40
61,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:43:48
62,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:43:56
63,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:45:51
64,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:46:06
65,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:46:35
66,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:56:36
67,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:56:41
68,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:56:47
69,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:56:59
70,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 14:57:09
71,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:01:25
72,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : ),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:02:08
73,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : 21),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:02:48
74,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : 21),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:02:52
75,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : 21),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:05:23
76,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : 21),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:06:47
77,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Ảnh ( ID Ảnh : 21),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:06:57
78,1,Quản Trị Viên,NULL,NULL,0,Thêm Vào 4 Hình Ảnh Vào Cấu hình website,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:11:46
79,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 22),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:15
80,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tên Ảnh ( ID Ảnh : 25),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:30
81,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 25),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:30
82,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 25),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:35
83,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tên Ảnh ( ID Ảnh : 22),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:50
84,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 22),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:50
85,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 22),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:14:54
86,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 22),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:15:05
87,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 22),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:15:22
88,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 24),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:15:32
89,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tên Ảnh ( ID Ảnh : 24),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:15:41
90,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tiêu Đề Ảnh Cấu Hình( ID Ảnh : 23),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:15:48
91,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Tên Ảnh ( ID Ảnh : 23),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",2022-10-23 15:15:58
